Class_Name,Description,Type,id,Professor,,Unit,Attributes,Subject,Number,Unit,mon,tues,wed,thur,fri,start_time,end_time,,,,,,,,,,,,
AMES 286,BUDDHISM AND SEXUALITY,lec,1,David N Need,,1,"CCI,EI,C,CZ",AMES,286,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AMES 288S,RELIGION & POLITICS,lec,1,Mohsen Kadivar,,1,"CCI,EI,C,CZ",AMES,288,1,TRUE,FALSE,TRUE,FALSE,FALSE,4:40PM,5:55PM,,,,,,,,,,,,
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,lec,1,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",,1,"CCI,EI,C,CZ",AMES,301,1,FALSE,TRUE,FALSE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,1,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",,1,"CCI,EI,C,CZ",AMES,301,0,FALSE,FALSE,TRUE,FALSE,FALSE,8:30AM,9:20AM,,,,,,,,,,,,
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,2,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",,1,"CCI,EI,C,CZ",AMES,301,0,FALSE,FALSE,TRUE,FALSE,FALSE,10:05AM,10:55AM,,,,,,,,,,,,
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,3,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",,1,"CCI,EI,C,CZ",AMES,301,0,FALSE,FALSE,FALSE,TRUE,FALSE,8:30AM,9:20AM,,,,,,,,,,,,
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,4,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",,1,"CCI,EI,C,CZ",AMES,301,0,FALSE,FALSE,FALSE,TRUE,FALSE,10:05AM,10:55AM,,,,,,,,,,,,
AMES 318S,SOCIAL MOVEMENTS/SOCIAL MEDIA,lec,1,Negar Mottahedeh,,1,"CCI,EI,STS,C,ALP,CZ",AMES,318,1,FALSE,FALSE,TRUE,FALSE,TRUE,11:45AM,1:00PM,,,,,,,,,,,,
AMES 322,MYSTICAL LITERATURE,lec,1,Omid Safi,,1,"CCI,C,ALP",AMES,322,1,FALSE,FALSE,TRUE,FALSE,FALSE,4:40PM,7:10PM,,,,,,,,,,,,
AMES 335,CHINATOWNS: A CULTURAL HISTORY,lec,1,Eileen Chow,,1,"CCI,R,C,ALP,CZ",AMES,335,1,FALSE,FALSE,TRUE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AMES 360,GLOBAL APPLE,lec,1,Ralph A Litzinger,,1,"EI,STS,C,CZ,SS",AMES,360,1,TRUE,FALSE,TRUE,FALSE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
AMES 372,TWO KOREAS,lec,1,Nayoung Aimee Kwon,,1,"CCI,C,ALP,CZ",AMES,372,1,FALSE,TRUE,FALSE,TRUE,FALSE,6:15PM,7:30PM,,,,,,,,,,,,
AMES 373S,ISLAM MYS:PERSO-IND/EAST,lec,1,Mona F Hassan,,1,"CCI,EI,C,CZ",AMES,373,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 410S,TRAUMA IN ASIA,lec,1,Nayoung Aimee Kwon,,1,"CCI,C,ALP,CZ",AMES,410,1,FALSE,FALSE,FALSE,TRUE,FALSE,11:45AM,2:15PM,,,,,,,,,,,,
AMES 432S,STORYWORLDS,lec,1,Eileen Chow,,1,"CCI,C,ALP,CZ",AMES,432,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 435S,CHINESE MEDIA AND POP CULTURE,lec,1,Kang Liu,,1,"CCI,C,SS",AMES,435,1,TRUE,FALSE,TRUE,FALSE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AMES 437S,CAP SEM: GLOBALIZATION ASIA,lec,1,Sucheta Mazumdar,,1,"CCI,R,STS,C,CZ,SS",AMES,437,1,FALSE,FALSE,FALSE,TRUE,FALSE,4:40PM,7:10PM,,,,,,,,,,,,
AMES 498S,SENIOR HONORS THESIS SEMINAR,lec,1,Ellen McLarney,,1,"R,W",AMES,498,1,TRUE,FALSE,FALSE,FALSE,FALSE,6:15PM,8:45PM,,,,,,,,,,,,
AMI 198,EXPERIMENTAL INTERFACE DESIGN,lec,1,William Seaman,,1,"STS,C,ALP",AMI,198,1,FALSE,FALSE,TRUE,FALSE,FALSE,11:45AM,2:15PM,,,,,,,,,,,,
AMI 218FS,DOCUMENTING THE MIDDLE EAST,lec,1,Nancy Kalow,,1,"CCI,R,C,ALP,CZ",AMI,218,1,FALSE,FALSE,TRUE,FALSE,TRUE,10:05AM,11:20AM,,,,,,,,,,,,
AMI 224S,WRITING THE TV DRAMA SERIES,lec,1,Neal C Bell,,1,"W,C,ALP",AMI,224,1,TRUE,FALSE,FALSE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
