Class_Name,Description,Type,id,Professor,Time,Unit,Attributes,Subject,Number
ARTSVIS 245S,WOMEN IN VISUAL ARTS,lec,1,Susanna Caviglia,Th 10:05AM - 12:35PM,1.0,"C,ALP,CZ",ARTSVIS,245
ARTSVIS 281S,MOTION DESIGN,lec,1,Raquel Salvatella De Prada,W 8:30AM - 11:00AM,1.0,,ARTSVIS,281
ARTSVIS 303S,WRITING THE SHORT FILM,lec,1,Gary Hawkins,W 1:25PM - 4:40PM,1.0,"W,C,ALP",ARTSVIS,303
ARTSVIS 305L,VIRTUAL MUSEUMS,lec,1,Maurizio Forte,Tu 1:25PM - 2:40PM,1.0,"R,STS,C,ALP",ARTSVIS,305
ARTSVIS 305L,VIRTUAL MUSEUMS,lab,1,Maurizio Forte,Th 1:25PM - 2:40PM,1.0,"R,STS,C,ALP",ARTSVIS,305
ARTSVIS 320,ADVANCED PAINTING,lec,1,Beverly McIver,Th 1:25PM - 3:55PM,1.0,ALP,ARTSVIS,320
ARTSVIS 326S,FILM ANIMATION PRODUCTION,lec,1,Douglas Herbert,TuTh 11:45AM - 1:00PM,1.0,"C,ALP",ARTSVIS,326
ARTSVIS 356S,16MM FILM PRODUCTION,lec,1,Joshua M Gibson,Tu 1:25PM - 4:25PM,1.0,"C,ALP",ARTSVIS,356
ARTSVIS 497S,ADVANCED VISUAL PRACTICE,lec,1,Shambhavi Kaul,M 1:25PM - 3:55PM,1.0,"C,ALP",ARTSVIS,497
BIOCHEM 301,INTRO BIOCHEMISTRY I,lec,1,Brian E Coggins,MWF 10:05AM - 11:20AM,1.0,,BIOCHEM,301
BIOLOGY 148FS,GENOMICS OF SYMBIOSIS,lec,1,Francois M Lutzoni,TuTh 3:05PM - 4:20PM,1.0,"R,STS,C,NS",BIOLOGY,148
BIOLOGY 153,ECOSYSTM HLTH/HUMAN WELL-BEING,lec,1,Julie A Reynolds,WF 10:05AM - 11:20AM,1.0,"STS,NS",BIOLOGY,153
BIOLOGY 157,THE DYNAMIC OCEANS,lec,1,Alexander Glass,TuTh 3:05PM - 4:20PM,1.0,"STS,C,NS",BIOLOGY,157
BIOLOGY 158,PLANTS AND HUMAN USE,lec,1,"Kathleen Pryer, Michael D. Windham",W 1:25PM - 3:55PM,1.0,"STS,NS",BIOLOGY,158
BIOLOGY 180FS,GLOBAL DISEASES,lec,1,Sherryl A Broverman,TuTh 1:25PM - 2:40PM,1.0,"STS,NS",BIOLOGY,180
BIOLOGY 201L,MOLECULAR BIOLOGY,lec,1,"Alison Hill, L. Ryan Baugh",MWF 10:05AM - 11:20AM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,1,Alison Hill,M 12:00PM - 2:30PM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,2,Alison Hill,M 12:00PM - 2:30PM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,3,Alison Hill,M 3:20PM - 5:50PM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,4,Alison Hill,M 3:20PM - 5:50PM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,5,Alison Hill,Tu 12:00PM - 2:30PM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,6,Alison Hill,Tu 12:00PM - 2:30PM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,7,Alison Hill,Tu 3:20PM - 5:50PM,1.0,"STS,NS",BIOLOGY,201
BIOLOGY 201L,MOLECULAR BIOLOGY,lab,8,Alison Hill,W 12:00PM - 2:30PM,1.0,"STS,NS",BIOLOGY,201
